    //带%的先不要动
    //看到<>标签的也不要动


    "test_msg"                      "测试消息"
    "Not_Enough_Gold_Item"          "你太穷(物品比基地贵50%)"
    "Out_Of_Stock_C_Scroll"         "每回合C卷最多只能以基础价格买十张"
    "Not_Enough_Master_Mana"        "御主魔力不够"
    "Already_In_Marble"             "已经在Reality Marble内"
    "Cannot_Travel"                 "不能移至指定位置"
    "Out_Of_Range"                  "超出射程"
    "Cannot_Be_Cast_Now"            "现在不能施展"
    "Cannot_Blink"                  "不能闪现"
    "Workshop_Exists"               "已经有工房了"
    "Cannot_Target_Self"            "不能指定自己"
    "Caster_Out_Of_Radius"          "C妈必须在工房500范围内"
    "Cannot_Unmount"                "只能在移动可达到的位置使用"
    "Not_Enough_Madness"            "疯狂值不够"
    "Cannot_Summon"                 "现在不能召唤"
    "Tentacle_Out_Of_Radius"        "必须指定距离caster500范围内的地方"
    "Cannot_Use_While_Integrated"   "合体时不能使用"
    "Entered_Base"                  "进入了基地(价格恢复正常)"
    "Left_Base"                     "离开了基地(物品价格提升50%)"
    "No_Items_Found"                "这一格没有物品"
    "Invalid_Location"              "不允许的位置"
    "Attribute_Not_Earned"          "属性未获得"
    "Revoked_Error"                 "令咒被封"
    "Master_Not_Enough_Health"      "御主生命不够(等圣杯发点吧)"
    "Cannot_Get_Over_50_Stats"      "不能超过50点"
    "Cannot_Acquire_Shard"          "还没死够7次"
    "Presence_Detected"             "侦测到敌方从者"


    "DOTA_Tooltip_ability_gawain_blade_of_the_devoted"                  "信者之刃"
    "DOTA_Tooltip_ability_gawain_blade_of_the_devoted_Description"      "将剑附魔,获得额外移动速度,下次普攻附带特效.\n<font color='#58ACFA'>On Ally</font> : 医治目标.\n<font color='#58ACFA'>On Enemy</font> : 造成物理伤害附加短晕"
    "DOTA_Tooltip_ability_gawain_blade_of_the_devoted_Lore"             ""
    "DOTA_Tooltip_ability_gawain_blade_of_the_devoted_bonus_speed"      "%BONUS MOVESPEED:"

    "DOTA_Tooltip_ability_item_healing_scroll"                          "群体医疗卷轴"
    "DOTA_Tooltip_ability_item_healing_scroll_Lore"                     ""
    "DOTA_Tooltip_ability_item_healing_scroll_Description"              "立即恢复生命,并为自己和附近友军提供额外护甲.\n<font color='#FF0000'>\nItem costs 50%% more once you leave your base.</font>"
    "DOTA_Tooltip_ability_item_healing_scroll_heal_amount"              "HEAL AMOUNT:"
    "DOTA_Tooltip_ability_item_healing_scroll_armor_amount"             "BONUS ARMOR AMOUNT:"
    "DOTA_Tooltip_ability_item_healing_scroll_armor_duration"           "BONUS ARMOR DURATION:"
    "DOTA_Tooltip_ability_item_healing_scroll_radius"                   "RADIUS:"

    "DOTA_Tooltip_Ability_gawain_attribute_sunlight"                    "日光"
    "DOTA_Tooltip_ability_gawain_attribute_sunlight_Description"        "提升支援能力,提升施加在友军身上的技能效果.\n<font color='#58ACFA'>振奋之光 </font>: 同时给予 30%% 额外魔抗 和 20 护甲.\n<font color='#58ACFA'>信者之刃 </font>: 同时补充魔法以及减少15秒全技能冷却.\n<font color='#58ACFA'>Excalibur Galatine </font>: 50%% 的额外医疗生效于3秒内\n<font color='#58ACFA'>日光之拥</font> : 给予 30%% 额外魔抗\n\n<font color='#FF0000'>不能同时成为日光和月光高文</font>"


    "DOTA_Tooltip_Ability_false_assassin_attribute_quickdraw"                   "拔刀术"
    "DOTA_Tooltip_ability_false_assassin_attribute_quickdraw_Description"       "使用守门人后激活拔刀术5秒.\n<font color='#58ACFA'>拔刀术 : </font>前冲对路上所有敌人造成基于敏捷的伤害并附带攻击特效"

    "DOTA_Tooltip_Ability_false_assassin_windblade"                             "风刃"
    "DOTA_Tooltip_ability_false_assassin_windblade_Description"                 "对周围敌人造成伤害并附加攻击特效,把他们推后一段距离."

    "DOTA_Tooltip_Ability_saber_caliburn"                               "Caliburn"
    "DOTA_Tooltip_ability_saber_caliburn_description"                   "用Caliburn打击敌人造成伤害和减速. 附近敌人也受到一些伤害."
    "DOTA_Tooltip_ability_saber_caliburn_Lore"                          ""
    "DOTA_Tooltip_ability_saber_caliburn_damage"                        "TARGET DAMAGE:"
    "DOTA_Tooltip_ability_saber_caliburn_aoe_damage_percent_tooltip"    "%AOE DAMAGE:"
    "DOTA_Tooltip_ability_saber_caliburn_slow_amount"                   "%SLOW AMOUNT:"
    "DOTA_Tooltip_ability_lancelot_caliburn_slow_duration"              "SLOW DURATION:"

    "DOTA_Tooltip_Ability_lancelot_caliburn"                            "Caliburn"
    "DOTA_Tooltip_ability_lancelot_caliburn_description"                "用Caliburn打击敌人造成伤害和减速. 附近敌人也受到一些伤害."
    "DOTA_Tooltip_ability_lancelot_caliburn_Lore"                       ""
    "DOTA_Tooltip_ability_lancelot_caliburn_damage"                     "TARGET DAMAGE:"
    "DOTA_Tooltip_ability_lancelot_caliburn_aoe_damage_percent_tooltip" "%AOE DAMAGE:"
    "DOTA_Tooltip_ability_lancelot_caliburn_slow_amount"                "%SLOW AMOUNT:"
    "DOTA_Tooltip_ability_lancelot_caliburn_slow_duration"              "SLOW DURATION:"

    "DOTA_Tooltip_Ability_saber_attribute_strike_air_upstream"                  "上击气流斩"
    "DOTA_Tooltip_ability_saber_attribute_strike_air_upstream_Description"      "激活上击气流斩.\n<font color='#58ACFA'>Strike Air-Upstream : </font>给予一定几率造成基于普攻伤害的额外魔法伤害并将敌击飞.\n上击气流斩在不可视气流或阿瓦隆反击后的第一次普攻一定会触发."
    "DOTA_Tooltip_Ability_saber_attribute_strike_air_upstream_proc_chance"      "%PROC CHANCE:"
    "DOTA_Tooltip_Ability_saber_attribute_strike_air_upstream_base_damage"      "BASE DAMAGE:"
    "DOTA_Tooltip_Ability_saber_attribute_strike_air_upstream_ad_ratio"         "ATTACK DAMAGE RATIO:"
